"date","country","total_revenue"
"2007-04-07","China","191.54"
"2007-02-15","Turkey","11.95"
"2007-02-21","Kenya","11.98"
"2007-04-08","United Kingdom","47.87"
"2007-02-17","South Africa","6.98"
"2007-03-19","Anguilla","9.98"
"2007-04-27","Hong Kong","10.97"
"2007-02-16","Switzerland","7.99"
"2007-02-21","Dominican Republic","2.99"
"2007-04-11","Switzerland","18.96"
"2007-02-14","Hungary","6.99"
"2007-02-19","Romania","2.97"
"2007-04-27","Slovakia","8.98"
"2007-02-20","Philippines","68.85"
"2007-04-30","Yugoslavia","15.97"
"2007-03-02","Brazil","83.78"
"2007-04-30","Holy See (Vatican City State)","0.99"
"2007-03-23","Mozambique","14.96"
"2007-03-18","French Guiana","6.99"
"2007-04-30","Cambodia","4.99"
"2007-03-16","Egypt","10.98"
"2007-03-19","Sudan","7.99"
"2007-04-12","Tunisia","8.98"
"2007-04-05","Mexico","6.99"
"2007-02-15","South Korea","7.96"
"2007-03-01","Senegal","8.98"
"2007-04-06","Tunisia","1.98"
"2007-04-08","Cambodia","5.98"
"2007-04-12","Tuvalu","4.99"
"2007-03-01","Japan","147.63"
"2007-02-19","Sri Lanka","5.98"
"2007-02-17","Argentina","22.94"
"2007-04-10","Thailand","12.98"
"2007-03-21","French Guiana","7.98"
"2007-04-10","Vietnam","44.92"
"2007-03-17","Hong Kong","2.98"
"2007-03-20","Russian Federation","66.86"
"2007-03-18","Colombia","37.93"
"2007-04-28","Bolivia","10.98"
"2007-04-28","Kazakstan","6.99"
"2007-05-14","Greece","0.99"
"2007-03-21","Ukraine","3.98"
"2007-04-27","Hungary","9.97"
"2007-03-19","Germany","38.90"
"2007-02-15","Peru","13.97"
"2007-02-18","France","11.96"
"2007-02-15","New Zealand","2.99"
"2007-05-14","Puerto Rico","0.99"
"2007-03-02","Chile","26.94"
"2007-04-09","Turkey","11.97"
"2007-03-18","Kuwait","0.99"
"2007-02-17","Congo, The Democratic Republic of the","1.98"
"2007-03-21","France","13.96"
"2007-04-11","Mozambique","5.99"
"2007-04-07","Hungary","12.97"
"2007-04-28","South Africa","44.86"
"2007-03-19","Afghanistan","0.99"
"2007-03-17","Thailand","6.98"
"2007-03-02","Indonesia","70.83"
"2007-04-06","Kazakstan","3.98"
"2007-03-22","Anguilla","4.99"
"2007-04-10","Japan","136.69"
"2007-03-01","Armenia","10.98"
"2007-04-27","Malaysia","30.95"
"2007-04-06","Yemen","30.94"
"2007-04-27","Bahrain","4.99"
"2007-04-11","Bahrain","4.99"
"2007-02-16","Malaysia","0.99"
"2007-04-06","Estonia","0.99"
"2007-03-22","Finland","8.98"
"2007-02-19","Austria","3.98"
"2007-02-16","Thailand","8.97"
"2007-04-06","Madagascar","2.99"
"2007-03-19","Venezuela","20.93"
"2007-05-14","Iraq","0.99"
"2007-02-16","Myanmar","7.96"
"2007-04-28","Chile","3.99"
"2007-05-14","Turkmenistan","2.99"
"2007-05-14","Kuwait","0.99"
"2007-04-12","Chile","3.99"
"2007-04-12","Poland","48.92"
"2007-05-14","Philippines","25.90"
"2007-04-30","United Kingdom","81.85"
"2007-04-29","Austria","20.95"
"2007-04-29","Dominican Republic","22.96"
"2007-04-29","Thailand","20.94"
"2007-03-17","Dominican Republic","8.97"
"2007-03-22","Tunisia","5.98"
"2007-04-28","Puerto Rico","23.95"
"2007-03-01","Turkmenistan","2.99"
"2007-02-15","Sudan","3.98"
"2007-02-18","Liechtenstein","4.99"
"2007-04-08","Latvia","9.98"
"2007-03-22","Kenya","32.94"
"2007-03-01","Mozambique","7.98"
"2007-04-12","Turkey","88.79"
"2007-04-29","Pakistan","25.93"
"2007-04-11","Malawi","0.99"
"2007-03-17","Brazil","95.79"
"2007-02-16","Kenya","9.98"
"2007-03-01","Vietnam","58.88"
"2007-03-20","Iraq","2.99"
"2007-05-14","Kenya","2.99"
"2007-03-22","Slovakia","0.99"
"2007-02-19","Bulgaria","2.99"
"2007-04-30","Iraq","24.95"
"2007-03-18","Netherlands","22.93"
"2007-03-21","Senegal","4.98"
"2007-03-23","Congo, The Democratic Republic of the","4.99"
"2007-03-18","Taiwan","44.85"
"2007-04-07","Tanzania","5.98"
"2007-02-21","Cambodia","6.98"
"2007-04-05","Israel","1.99"
"2007-02-21","South Africa","9.97"
"2007-04-30","Tonga","4.99"
"2007-02-15","Estonia","6.97"
"2007-04-28","Peru","18.95"
"2007-03-01","United States","204.53"
"2007-02-19","Germany","9.97"
"2007-04-08","Moldova","4.99"
"2007-02-18","Senegal","5.98"
"2007-03-23","Slovakia","2.99"
"2007-02-20","Argentina","21.94"
"2007-04-27","India","282.33"
"2007-03-01","Philippines","84.81"
"2007-02-21","Anguilla","2.99"
"2007-04-27","Austria","0.99"
"2007-04-10","Puerto Rico","12.97"
"2007-04-28","Mozambique","17.95"
"2007-04-08","Indonesia","57.89"
"2007-02-15","Hungary","8.98"
"2007-02-15","Moldova","2.99"
"2007-04-08","Dominican Republic","23.94"
"2007-03-19","Tonga","8.98"
"2007-04-06","Colombia","30.94"
"2007-04-07","Yugoslavia","7.98"
"2007-05-14","Iran","4.99"
"2007-04-30","Venezuela","76.82"
"2007-02-15","Poland","8.98"
"2007-04-28","Paraguay","13.97"
"2007-03-23","Myanmar","17.96"
"2007-03-23","Colombia","10.97"
"2007-02-17","France","3.98"
"2007-03-21","Hong Kong","4.99"
"2007-03-18","Congo, The Democratic Republic of the","0.99"
"2007-04-11","Poland","21.96"
"2007-02-15","United Arab Emirates","14.97"
"2007-02-20","Algeria","4.99"
"2007-02-18","Morocco","10.98"
"2007-04-06","Spain","21.94"
"2007-04-09","Moldova","5.98"
"2007-03-01","Holy See (Vatican City State)","3.99"
"2007-03-01","Hong Kong","7.99"
"2007-04-10","Switzerland","5.99"
"2007-02-21","Philippines","29.91"
"2007-03-16","Indonesia","4.99"
"2007-02-15","Russian Federation","65.83"
"2007-02-20","Poland","19.96"
"2007-02-17","Holy See (Vatican City State)","9.99"
"2007-05-14","Russian Federation","7.96"
"2007-02-19","Mexico","60.90"
"2007-04-30","Oman","10.97"
"2007-04-30","Bulgaria","16.95"
"2007-03-22","Azerbaijan","15.97"
"2007-04-30","Latvia","43.92"
"2007-04-05","Poland","3.99"
"2007-04-28","Slovakia","5.98"
"2007-03-21","Tanzania","14.95"
"2007-02-21","Chad","4.99"
"2007-04-28","Sri Lanka","9.98"
"2007-04-30","United States","333.24"
"2007-02-19","Estonia","4.99"
"2007-03-17","Austria","4.97"
"2007-03-01","Anguilla","1.98"
"2007-02-16","Austria","0.99"
"2007-03-01","India","296.39"
"2007-04-28","Virgin Islands, U.S.","4.99"
"2007-02-19","Tuvalu","3.99"
"2007-03-18","Pakistan","8.99"
"2007-02-15","Congo, The Democratic Republic of the","10.96"
"2007-02-19","Greece","4.98"
"2007-03-16","Colombia","2.99"
"2007-02-18","Mexico","51.87"
"2007-03-18","North Korea","12.98"
"2007-03-17","Angola","2.99"
"2007-02-19","Nigeria","36.92"
"2007-04-12","Israel","14.97"
"2007-03-01","Greenland","4.98"
"2007-04-27","Tanzania","18.96"
"2007-02-21","Sudan","7.98"
"2007-02-18","Malawi","3.99"
"2007-02-16","Latvia","8.99"
"2007-03-23","Turkey","63.87"
"2007-03-20","Anguilla","3.98"
"2007-02-18","Vietnam","8.99"
"2007-04-08","Japan","95.75"
"2007-02-17","Netherlands","7.98"
"2007-04-29","Morocco","7.98"
"2007-03-23","Belarus","11.98"
"2007-02-15","Puerto Rico","0.99"
"2007-04-29","Israel","28.95"
"2007-02-15","South Africa","16.96"
"2007-04-27","Greenland","11.98"
"2007-05-14","Israel","2.99"
"2007-04-10","Bangladesh","6.98"
"2007-03-02","Estonia","7.98"
"2007-02-18","Venezuela","18.96"
"2007-03-18","Kenya","16.96"
"2007-04-08","Turkey","70.86"
"2007-04-30","Turkey","118.72"
"2007-02-15","Argentina","53.88"
"2007-04-29","Netherlands","20.96"
"2007-03-18","Latvia","13.98"
"2007-03-17","Virgin Islands, U.S.","4.99"
"2007-03-23","Azerbaijan","9.97"
"2007-04-10","Sweden","0.99"
"2007-03-20","Czech Republic","8.99"
"2007-03-21","Turkmenistan","6.99"
"2007-02-21","Germany","39.93"
"2007-04-28","India","247.36"
"2007-04-06","China","175.56"
"2007-03-17","Russian Federation","111.76"
"2007-02-15","Anguilla","3.99"
"2007-03-01","Zambia","11.98"
"2007-04-26","Colombia","4.99"
"2007-02-20","Bahrain","16.98"
"2007-04-11","Taiwan","17.95"
"2007-03-19","Azerbaijan","4.99"
"2007-03-17","Ethiopia","9.98"
"2007-04-10","Taiwan","24.94"
"2007-02-16","Tonga","0.99"
"2007-04-10","Nauru","7.99"
"2007-04-30","Ukraine","62.86"
"2007-02-16","Taiwan","31.92"
"2007-03-22","Japan","149.66"
"2007-02-17","Turkey","40.90"
"2007-03-01","Tuvalu","4.99"
"2007-03-02","Iran","22.93"
"2007-03-02","Azerbaijan","7.99"
"2007-03-01","Malawi","7.99"
"2007-02-15","Turkmenistan","6.98"
"2007-04-28","Saint Vincent and the Grenadines","7.98"
"2007-04-07","Poland","19.97"
"2007-03-01","Finland","6.99"
"2007-02-18","Egypt","20.95"
"2007-04-11","France","17.96"
"2007-04-30","French Guiana","3.99"
"2007-04-07","France","14.97"
"2007-02-17","Switzerland","7.99"
"2007-03-20","Cameroon","0.99"
"2007-02-20","Lithuania","10.98"
"2007-04-29","New Zealand","1.99"
"2007-05-14","France","0.99"
"2007-03-18","France","3.99"
"2007-03-20","Tuvalu","3.98"
"2007-03-02","Greece","4.99"
"2007-03-20","Malaysia","24.94"
"2007-04-12","Argentina","39.89"
"2007-05-14","Spain","9.98"
"2007-03-16","Peru","4.99"
"2007-03-18","Oman","10.97"
"2007-03-17","Romania","7.96"
"2007-04-06","Austria","7.97"
"2007-04-05","Iran","3.98"
"2007-04-28","Philippines","75.78"
"2007-04-12","Belarus","17.98"
"2007-02-19","Puerto Rico","10.98"
"2007-04-28","Malaysia","2.99"
"2007-04-08","French Guiana","3.99"
"2007-02-16","Bolivia","4.98"
"2007-04-10","Kenya","10.98"
"2007-04-08","Poland","16.95"
"2007-03-20","United Arab Emirates","6.98"
"2007-02-20","Ecuador","4.98"
"2007-04-27","Poland","32.91"
"2007-03-23","Armenia","4.99"
"2007-03-21","Nigeria","57.87"
"2007-04-28","China","162.55"
"2007-04-27","Virgin Islands, U.S.","23.96"
"2007-04-10","Philippines","100.75"
"2007-04-30","American Samoa","0.99"
"2007-03-18","Italy","41.90"
"2007-03-20","Mexico","128.68"
"2007-04-30","Germany","79.84"
"2007-04-10","Russian Federation","123.74"
"2007-02-18","Sri Lanka","4.99"
"2007-04-05","India","35.93"
"2007-02-20","France","10.95"
"2007-04-07","Mozambique","19.96"
"2007-04-08","Ukraine","17.97"
"2007-02-16","Philippines","43.91"
"2007-02-21","Saudi Arabia","4.99"
"2007-03-21","Austria","14.97"
"2007-03-23","Philippines","69.86"
"2007-04-06","Ecuador","7.97"
"2007-02-20","French Polynesia","0.99"
"2007-02-16","Algeria","22.96"
"2007-02-17","Ukraine","3.98"
"2007-02-19","Paraguay","4.99"
"2007-03-21","French Polynesia","12.96"
"2007-04-08","Italy","24.95"
"2007-03-20","Austria","9.97"
"2007-02-21","Gambia","6.99"
"2007-02-16","Italy","8.97"
"2007-03-22","Nauru","24.96"
"2007-04-29","Mozambique","21.95"
"2007-03-19","Pakistan","34.92"
"2007-03-02","France","11.96"
"2007-04-11","Tonga","5.99"
"2007-02-21","Tanzania","10.97"
"2007-03-23","Peru","2.99"
"2007-03-02","Colombia","23.95"
"2007-04-28","Brunei","4.99"
"2007-04-27","Mexico","128.71"
"2007-03-20","Japan","147.66"
"2007-03-20","Egypt","13.97"
"2007-03-18","Mexico","150.67"
"2007-02-14","Cambodia","4.99"
"2007-04-27","Colombia","12.97"
"2007-03-17","Sudan","0.99"
"2007-03-23","Netherlands","33.93"
"2007-02-17","Cambodia","0.99"
"2007-04-30","Chile","10.98"
"2007-04-09","Cameroon","2.99"
"2007-04-30","Greece","17.95"
"2007-04-28","Tanzania","34.95"
"2007-05-14","Peru","4.99"
"2007-03-22","Belarus","4.98"
"2007-03-17","Sweden","6.98"
"2007-03-19","Nigeria","73.86"
"2007-03-19","Turkey","81.80"
"2007-03-20","India","292.39"
"2007-04-09","Philippines","81.80"
"2007-02-15","Kuwait","3.99"
"2007-02-21","Pakistan","9.98"
"2007-03-02","United States","169.58"
"2007-04-11","Zambia","4.99"
"2007-04-12","Tanzania","12.98"
"2007-03-23","Greece","9.98"
"2007-04-29","Malaysia","2.97"
"2007-04-12","Kenya","12.97"
"2007-03-19","Japan","147.64"
"2007-03-17","Argentina","28.93"
"2007-04-12","Russian Federation","102.77"
"2007-02-18","Holy See (Vatican City State)","15.97"
"2007-04-11","Czech Republic","9.98"
"2007-03-02","Yugoslavia","3.99"
"2007-02-14","South Africa","5.99"
"2007-02-14","Philippines","6.99"
"2007-04-12","Austria","4.99"
"2007-02-17","Egypt","11.96"
"2007-04-27","Turkey","85.79"
"2007-03-22","South Korea","27.95"
"2007-04-06","Oman","3.98"
"2007-03-02","United Kingdom","29.93"
"2007-04-08","Czech Republic","3.98"
"2007-03-21","Egypt","38.90"
"2007-03-20","China","243.38"
"2007-03-02","Iraq","3.99"
"2007-03-01","Myanmar","4.99"
"2007-03-20","Poland","25.93"
"2007-04-11","Nigeria","45.91"
"2007-03-21","Zambia","5.99"
"2007-03-23","Thailand","7.98"
"2007-03-23","Sweden","8.99"
"2007-03-02","India","256.38"
"2007-04-27","Cameroon","25.95"
"2007-04-06","French Polynesia","12.97"
"2007-05-14","Japan","22.91"
"2007-03-21","Yugoslavia","5.99"
"2007-04-09","Runion","9.98"
"2007-03-22","Chad","12.98"
"2007-02-15","Taiwan","12.96"
"2007-03-20","Thailand","32.92"
"2007-02-21","Cameroon","7.98"
"2007-04-30","Dominican Republic","24.95"
"2007-04-06","Runion","0.99"
"2007-03-02","Poland","37.90"
"2007-04-07","Gambia","0.99"
"2007-04-29","Venezuela","24.95"
"2007-03-19","Peru","24.93"
"2007-03-01","Yemen","8.97"
"2007-03-18","Argentina","37.90"
"2007-04-12","Mexico","107.72"
"2007-03-02","Philippines","102.79"
"2007-04-06","Peru","10.97"
"2007-02-18","Poland","21.94"
"2007-03-19","Hong Kong","17.96"
"2007-05-14","Bolivia","2.99"
"2007-04-06","South Korea","22.95"
"2007-04-12","Latvia","5.99"
"2007-03-22","Bangladesh","22.94"
"2007-03-23","Nauru","5.99"
"2007-03-02","Argentina","74.86"
"2007-03-01","Austria","10.98"
"2007-02-18","Kazakstan","1.99"
"2007-03-18","Myanmar","8.99"
"2007-02-20","Iran","15.93"
"2007-04-06","Finland","2.99"
"2007-04-09","Cambodia","7.98"
"2007-04-09","Liechtenstein","4.99"
"2007-04-12","Yemen","9.97"
"2007-02-18","Dominican Republic","5.99"
"2007-04-09","Russian Federation","112.76"
"2007-02-14","Yemen","2.99"
"2007-04-05","Argentina","5.98"
"2007-02-18","Brunei","3.99"
"2007-03-21","South Africa","28.94"
"2007-02-18","Afghanistan","1.98"
"2007-04-09","United Arab Emirates","8.96"
"2007-05-14","Tanzania","4.99"
"2007-04-29","Indonesia","80.84"
"2007-03-16","Myanmar","4.99"
"2007-02-16","India","132.70"
"2007-04-26","Thailand","0.99"
"2007-03-23","Germany","43.89"
"2007-03-16","Mexico","13.96"
"2007-04-29","Faroe Islands","7.98"
"2007-03-17","Kazakstan","9.97"
"2007-03-20","Angola","15.97"
"2007-03-19","South Africa","41.91"
"2007-03-20","Faroe Islands","5.99"
"2007-03-22","Puerto Rico","2.99"
"2007-02-15","Tonga","8.98"
"2007-04-08","New Zealand","3.99"
"2007-04-26","Nigeria","5.98"
"2007-05-14","Oman","4.99"
"2007-04-27","Ecuador","17.96"
"2007-04-27","North Korea","10.97"
"2007-03-01","Taiwan","60.86"
"2007-03-23","Iran","24.94"
"2007-02-18","Cameroon","4.99"
"2007-04-28","Runion","20.96"
"2007-02-14","Germany","5.99"
"2007-04-06","Czech Republic","2.99"
"2007-04-26","Armenia","4.99"
"2007-02-15","Japan","59.85"
"2007-04-29","Peru","5.99"
"2007-03-17","Mexico","120.70"
"2007-04-05","Pakistan","5.99"
"2007-04-26","Philippines","15.96"
"2007-03-22","Ecuador","38.93"
"2007-03-20","Chile","16.97"
"2007-04-09","Tunisia","5.98"
"2007-02-18","Algeria","12.96"
"2007-04-06","Kenya","3.99"
"2007-03-19","Gambia","2.99"
"2007-04-12","French Guiana","0.99"
"2007-04-12","Algeria","14.97"
"2007-04-28","Austria","2.99"
"2007-04-29","Yugoslavia","5.99"
"2007-03-21","Czech Republic","18.97"
"2007-02-17","Tanzania","4.99"
"2007-02-17","Algeria","8.99"
"2007-04-29","China","216.44"
"2007-03-02","Cameroon","15.96"
"2007-02-20","Turkey","22.96"
"2007-04-10","Argentina","29.92"
"2007-04-29","Virgin Islands, U.S.","4.97"
"2007-04-27","Czech Republic","1.99"
"2007-02-17","Italy","7.98"
"2007-04-08","Yemen","37.94"
"2007-04-09","United Kingdom","29.93"
"2007-02-18","Myanmar","11.98"
"2007-03-18","Philippines","95.80"
"2007-03-22","United Kingdom","25.93"
"2007-03-02","Russian Federation","82.79"
"2007-04-11","Brazil","125.73"
"2007-03-18","United Arab Emirates","22.96"
"2007-03-21","India","371.21"
"2007-03-21","Runion","15.96"
"2007-04-09","Bahrain","0.99"
"2007-03-21","Tonga","1.98"
"2007-02-15","Senegal","2.99"
"2007-04-07","United Kingdom","30.92"
"2007-03-19","Hungary","4.98"
"2007-04-12","Taiwan","52.85"
"2007-04-11","Virgin Islands, U.S.","2.99"
"2007-02-19","Israel","13.98"
"2007-03-01","Ukraine","23.93"
"2007-04-11","Azerbaijan","0.99"
"2007-04-10","Kazakstan","13.97"
"2007-04-12","Ecuador","26.96"
"2007-04-30","South Korea","54.87"
"2007-04-29","Puerto Rico","5.97"
"2007-04-29","Chad","7.98"
"2007-04-06","American Samoa","4.99"
"2007-03-22","Latvia","10.97"
"2007-03-02","Turkey","70.85"
"2007-04-09","Indonesia","53.88"
"2007-03-22","Egypt","29.93"
"2007-03-18","Peru","21.96"
"2007-03-17","United Kingdom","24.93"
"2007-03-19","Ukraine","22.94"
"2007-03-22","Thailand","26.95"
"2007-02-19","Angola","7.99"
"2007-04-09","Israel","30.95"
"2007-04-27","Angola","11.98"
"2007-02-15","China","102.75"
"2007-04-27","Morocco","7.98"
"2007-02-15","India","99.75"
"2007-04-10","Latvia","2.99"
"2007-02-15","Zambia","4.99"
"2007-05-14","Bulgaria","0.99"
"2007-02-20","Sudan","8.97"
"2007-03-01","Greece","14.96"
"2007-04-11","Congo, The Democratic Republic of the","11.98"
"2007-03-01","Pakistan","38.92"
"2007-03-18","Ethiopia","7.98"
"2007-03-18","Paraguay","9.98"
"2007-03-18","Yugoslavia","11.98"
"2007-04-07","Ukraine","13.98"
"2007-03-20","Dominican Republic","26.93"
"2007-02-16","United States","49.84"
"2007-04-29","Nigeria","70.81"
"2007-03-20","Azerbaijan","16.96"
"2007-04-10","Belarus","11.98"
"2007-03-22","Angola","1.99"
"2007-04-29","Mexico","105.77"
"2007-04-29","Turkmenistan","6.98"
"2007-03-18","Sri Lanka","7.98"
"2007-04-08","Greenland","7.97"
"2007-03-19","Runion","13.98"
"2007-04-09","Pakistan","0.99"
"2007-03-20","Philippines","101.77"
"2007-04-30","Zambia","4.98"
"2007-02-19","Armenia","4.99"
"2007-02-19","Belarus","7.98"
"2007-04-07","Latvia","5.99"
"2007-02-16","Pakistan","18.94"
"2007-03-01","Latvia","2.99"
"2007-04-07","American Samoa","2.99"
"2007-02-21","United States","30.91"
"2007-04-09","Germany","21.94"
"2007-04-27","Holy See (Vatican City State)","0.99"
"2007-04-08","France","23.94"
"2007-02-15","Colombia","9.97"
"2007-03-22","Cambodia","0.99"
"2007-04-11","Greenland","5.99"
"2007-04-06","Algeria","24.95"
"2007-04-12","French Polynesia","4.98"
"2007-03-16","France","4.99"
"2007-03-02","Gambia","10.97"
"2007-03-17","Bulgaria","11.98"
"2007-02-20","United Kingdom","22.94"
"2007-04-12","Zambia","8.98"
"2007-04-11","Ethiopia","3.98"
"2007-02-21","Latvia","10.98"
"2007-03-18","Chile","11.98"
"2007-03-23","Anguilla","4.99"
"2007-02-17","Indonesia","18.94"
"2007-02-19","Pakistan","8.99"
"2007-04-08","Venezuela","9.97"
"2007-02-20","New Zealand","4.99"
"2007-03-19","Zambia","12.98"
"2007-02-15","Algeria","5.99"
"2007-04-10","Zambia","2.99"
"2007-04-12","United States","115.69"
"2007-02-17","Nigeria","21.95"
"2007-03-17","Cambodia","2.98"
"2007-04-28","Dominican Republic","5.98"
"2007-04-09","Holy See (Vatican City State)","2.99"
"2007-04-10","Canada","5.98"
"2007-02-15","Sweden","2.99"
"2007-04-30","Brunei","12.97"
"2007-02-20","Canada","12.96"
"2007-04-11","Holy See (Vatican City State)","4.98"
"2007-04-10","Iran","6.97"
"2007-02-15","Netherlands","7.99"
"2007-03-19","Tanzania","15.96"
"2007-04-28","Greece","24.96"
"2007-04-29","Czech Republic","9.97"
"2007-03-23","Tanzania","4.99"
"2007-04-08","India","170.59"
"2007-03-18","China","181.54"
"2007-03-21","Puerto Rico","4.99"
"2007-04-11","United Kingdom","9.96"
"2007-04-08","United Arab Emirates","5.98"
"2007-04-10","Venezuela","19.95"
"2007-02-19","United Arab Emirates","5.98"
"2007-03-20","Brazil","118.75"
"2007-03-20","French Guiana","0.99"
"2007-03-23","Nepal","12.98"
"2007-02-17","Yemen","4.99"
"2007-03-19","Holy See (Vatican City State)","4.99"
"2007-04-11","Lithuania","0.99"
"2007-04-30","Austria","31.93"
"2007-03-20","Afghanistan","11.98"
"2007-02-19","Taiwan","31.92"
"2007-04-05","Yugoslavia","6.99"
"2007-02-20","Malawi","0.99"
"2007-03-23","Malaysia","8.98"
"2007-03-01","Ecuador","10.95"
"2007-02-18","Brazil","69.82"
"2007-03-21","Gambia","10.98"
"2007-04-27","Algeria","13.96"
"2007-04-28","Russian Federation","161.67"
"2007-04-12","Bolivia","4.99"
"2007-03-01","Canada","44.92"
"2007-04-07","Armenia","9.99"
"2007-02-21","Thailand","4.99"
"2007-04-29","South Korea","51.89"
"2007-02-19","Brazil","52.88"
"2007-04-09","Romania","9.96"
"2007-03-16","Japan","14.94"
"2007-03-01","Virgin Islands, U.S.","1.99"
"2007-03-02","Thailand","5.99"
"2007-04-08","Greece","4.99"
"2007-03-20","Mozambique","11.97"
"2007-04-07","Colombia","15.96"
"2007-02-20","Oman","8.98"
"2007-02-16","Slovakia","1.99"
"2007-03-18","Dominican Republic","18.97"
"2007-04-07","India","200.53"
"2007-04-05","United Kingdom","2.99"
"2007-02-19","Dominican Republic","6.97"
"2007-03-18","Cambodia","2.98"
"2007-02-16","Japan","58.86"
"2007-04-10","Indonesia","34.90"
"2007-02-18","Virgin Islands, U.S.","3.98"
"2007-03-20","Nepal","6.99"
"2007-03-17","Israel","8.97"
"2007-04-11","Algeria","21.96"
"2007-03-21","Italy","21.95"
"2007-05-14","United Kingdom","11.96"
"2007-04-29","Germany","33.91"
"2007-03-18","Cameroon","17.96"
"2007-04-06","Switzerland","12.97"
"2007-04-28","Angola","4.99"
"2007-04-28","Ethiopia","5.97"
"2007-04-27","Oman","17.96"
"2007-02-18","Germany","13.98"
"2007-02-18","Belarus","1.98"
"2007-03-16","Romania","5.99"
"2007-03-23","Bulgaria","13.95"
"2007-04-26","Moldova","0.99"
"2007-04-10","Senegal","0.99"
"2007-04-29","Canada","7.97"
"2007-04-07","Kazakstan","10.97"
"2007-03-19","Kuwait","13.97"
"2007-04-05","Germany","9.98"
"2007-03-16","Poland","10.98"
"2007-04-27","Paraguay","16.97"
"2007-03-22","Taiwan","32.93"
"2007-03-18","Zambia","0.99"
"2007-04-06","Turkmenistan","4.99"
"2007-04-07","Congo, The Democratic Republic of the","4.99"
"2007-03-23","Poland","35.93"
"2007-02-14","United States","2.99"
"2007-03-21","Mozambique","16.97"
"2007-04-30","Slovakia","3.99"
"2007-04-29","Iran","40.93"
"2007-02-16","Senegal","0.99"
"2007-03-01","Bangladesh","16.94"
"2007-03-18","Finland","8.99"
"2007-04-05","Turkey","7.99"
"2007-04-11","Puerto Rico","0.99"
"2007-04-07","Dominican Republic","2.99"
"2007-04-09","Peru","21.94"
"2007-03-19","Kazakstan","2.99"
"2007-04-09","Myanmar","2.99"
"2007-04-06","Liechtenstein","4.99"
"2007-05-14","Vietnam","8.97"
