"country","title","total_revenue"
"Canada","Cruelty Unforgiven","6.94"
"Australia","Paris Weekend","40.88"
"Canada","Betrayed Rear","36.94"
"Canada","Wanda Chamber","76.86"
"Canada","Crossroads Casualties","37.90"
"Canada","Hunchback Impossible","72.90"
"Canada","Halloween Nuts","29.92"
"Australia","Reservoir Adaptation","29.91"
"Australia","Undefeated Dalmations","61.89"
"Canada","Jericho Mulan","63.90"
"Canada","Bringing Hysterical","36.90"
"Australia","Tuxedo Mile","31.95"
"Canada","Gables Metropolis","33.89"
"Canada","Candles Grapes","70.87"
"Canada","Cider Desire","12.96"
"Canada","Deceiver Betrayed","10.90"
"Australia","Fire Wolves","39.93"
"Australia","Goldfinger Sensibility","22.92"
"Australia","Beethoven Exorcist","16.89"
"Australia","Panky Submarine","47.93"
"Canada","Amelie Hellfighters","67.90"
"Canada","Road Roxanne","28.95"
"Australia","Terminator Club","39.94"
"Canada","Bikini Borrowers","39.93"
"Canada","Love Suicides","22.85"
"Australia","Connecticut Tramp","75.89"
"Australia","Trading Pinocchio","47.91"
"Australia","Garden Island","60.91"
"Australia","Potluck Mixed","43.90"
"Canada","Zoolander Fiction","23.94"
"Australia","Philadelphia Wife","69.87"
"Canada","Aladdin Calendar","62.89"
"Canada","Dancing Fever","25.89"
"Australia","Jason Trap","61.86"
"Australia","Speed Suit","44.92"
"Canada","Tycoon Gathering","103.88"
"Australia","Voyage Legally","28.85"
"Australia","Unfaithful Kill","26.92"
"Canada","Montezuma Command","11.91"
"Australia","Harper Dying","36.90"
"Australia","Paycheck Wait","29.95"
"Canada","Pollock Deliverance","46.88"
"Canada","Outlaw Hanky","46.91"
"Australia","Encounters Curtain","18.91"
"Canada","Human Graffiti","36.94"
"Australia","Mother Oleander","24.94"
"Canada","Day Unfaithful","38.95"
"Canada","Silverado Goldfinger","37.95"
"Australia","Gandhi Kwai","16.87"
"Canada","Amadeus Holy","22.88"
"Australia","Vietnam Smoochy","11.92"
"Canada","Alamo Videotape","15.88"
"Australia","Alamo Videotape","14.90"
"Australia","Pirates Roxanne","20.90"
"Australia","Greedy Roots","14.87"
"Australia","Bear Graceland","35.92"
"Australia","Bed Highball","24.94"
"Canada","Coma Head","70.87"
"Canada","Greek Everyone","19.94"
"Canada","Witches Panic","79.86"
"Canada","Empire Malkovich","15.89"
"Canada","Hobbit Alien","34.87"
"Australia","Jeepers Wedding","30.94"
"Canada","Wyoming Storm","61.89"
"Canada","Wizard Coldblooded","70.89"
"Australia","California Birds","73.89"
"Canada","Personal Ladybugs","22.93"
"Canada","Oleander Clue","24.91"
"Canada","Voyage Legally","13.90"
"Canada","Hotel Happiness","41.92"
"Australia","Nightmare Chill","86.87"
"Canada","Alabama Devil","43.92"
"Australia","Casualties Encino","61.92"
"Canada","Worst Banger","19.94"
"Canada","Alley Evolution","23.94"
"Canada","Independence Hotel","11.95"
"Australia","Idols Snatchers","52.85"
"Canada","Heartbreakers Bright","62.90"
"Canada","Annie Identity","20.92"
"Australia","Greek Everyone","35.89"
"Canada","Goodfellas Salute","75.88"
"Canada","Pittsburgh Hunchback","83.89"
"Canada","Waterfront Deliverance","54.92"
"Canada","Antitrust Tomatoes","27.93"
"Canada","Grease Youth","15.89"
"Canada","Center Dinosaur","80.86"
"Australia","Frida Slipper","13.96"
"Australia","Bride Intrigue","6.93"
"Canada","Redemption Comforts","45.92"
"Australia","Cranes Reservoir","33.91"
"Canada","Braveheart Human","16.95"
"Canada","Magnificent Chitty","54.92"
"Canada","Intentions Empire","47.90"
"Australia","Patient Sister","6.93"
"Canada","Tourist Pelican","77.88"
"Australia","Bunch Minds","25.95"
"Australia","Kane Exorcist","13.88"
"Canada","Jet Neighbors","66.88"
"Canada","Galaxy Sweethearts","40.94"
"Canada","Creatures Shakespeare","25.94"
"Canada","Blade Polish","16.91"
"Australia","Spice Sorority","65.89"
"Canada","Shepherd Midsummer","13.90"
"Canada","Train Bunch","24.96"
"Australia","Wolves Desire","14.89"
"Canada","Dirty Ace","27.92"
"Australia","Sunrise League","45.93"
"Canada","Invasion Cyclone","53.86"
"Canada","Packer Madigan","9.94"
"Canada","Lawrence Love","6.93"
"Canada","Wardrobe Phantom","38.89"
"Australia","Grinch Massage","50.91"
"Australia","Eyes Driving","39.90"
"Canada","Whisperer Giant","72.90"
"Canada","Homeward Cider","23.84"
"Australia","Christmas Moonshine","9.91"
"Australia","Finding Anaconda","26.90"
"Canada","Confessions Maguire","33.94"
"Australia","Camelot Vacation","38.90"
"Canada","Airplane Sierra","37.94"
"Canada","Feathers Metal","31.91"
"Canada","Bear Graceland","57.89"
"Australia","Divide Monster","37.88"
"Canada","Rocketeer Mother","46.87"
"Australia","Bowfinger Gables","31.94"
"Canada","Shakespeare Saddle","34.91"
"Australia","Roxanne Rebel","13.90"
"Canada","Fish Opus","43.91"
"Canada","King Evolution","59.92"
"Australia","Malkovich Pet","34.89"
"Australia","Fargo Gandhi","45.92"
"Canada","Inch Jet","24.95"
"Canada","Fury Murder","36.90"
"Australia","Caper Motions","24.84"
"Australia","Vanilla Day","52.91"
"Australia","Banger Pinocchio","13.92"
"Canada","Enough Raging","18.94"
"Australia","North Tequila","51.91"
"Australia","Cincinatti Whisperer","35.95"
"Australia","Clones Pinocchio","31.90"
"Canada","Poseidon Forever","56.90"
"Canada","Alter Victory","17.89"
"Canada","Coneheads Smoochy","78.86"
"Canada","Attacks Hate","38.93"
"Australia","Pinocchio Simon","82.87"
"Canada","Curtain Videotape","17.88"
"Canada","Seabiscuit Punk","40.88"
"Australia","Notorious Reunion","24.87"
"Canada","Insects Stone","11.94"
"Canada","Hunting Musketeers","40.88"
"Canada","Lion Uncut","9.94"
"Canada","Heavenly Gun","32.94"
"Australia","Vanished Garden","14.94"
"Canada","Weekend Personal","45.89"
"Australia","Tequila Past","32.94"
"Australia","Strangers Graffiti","104.86"
"Australia","Perfect Groove","32.90"
"Australia","Cat Coneheads","73.87"
"Australia","Flatliners Killer","21.94"
"Australia","South Wait","60.89"
"Australia","Worker Tarzan","21.93"
"Australia","Detective Vision","37.84"
"Australia","Heaven Freedom","24.93"
"Australia","Truman Crazy","39.92"
"Canada","Operation Operation","33.89"
"Canada","Sleepless Monsoon","32.94"
"Australia","Campus Remember","52.89"
"Australia","Celebrity Horn","16.86"
"Canada","Rock Instinct","17.93"
"Australia","Teen Apollo","109.86"
"Canada","Telemark Heartbreakers","35.89"
"Canada","Gangs Pride","60.87"
"Australia","Coast Rainbow","24.88"
"Canada","Devil Desire","30.94"
"Canada","Remember Diary","14.96"
"Australia","Witches Panic","66.89"
"Canada","Madison Trap","33.94"
"Australia","Dawn Pond","47.93"
"Australia","Masked Bubble","6.93"
"Australia","Fiddler Lost","64.90"
"Australia","Sense Greek","47.93"
"Australia","League Hellfighters","67.89"
"Australia","Champion Flatliners","62.90"
"Canada","Speakeasy Date","41.89"
"Canada","Element Freddy","56.90"
"Australia","Resurrection Silverado","12.89"
"Australia","Driver Annie","43.89"
"Australia","Desire Alien","25.92"
"Australia","Crow Grease","7.95"
"Australia","Graduate Lord","17.95"
"Australia","Agent Truman","54.91"
"Canada","Comforts Rush","37.93"
"Canada","Pickup Driving","93.85"
"Australia","House Dynamite","45.86"
"Canada","Luck Opus","21.93"
"Australia","Harry Idaho","79.88"
"Australia","Loverboy Attacks","16.89"
"Canada","Chicken Hellfighters","41.88"
"Australia","Lovely Jingle","34.94"
"Canada","Dynamite Tarzan","30.89"
"Australia","Intrigue Worst","18.91"
"Australia","Deer Virginian","40.87"
"Australia","Giant Troopers","45.88"
"Australia","Jade Bunch","53.85"
"Canada","Wagon Jaws","33.91"
"Australia","Coldblooded Darling","27.95"
"Australia","Lover Truman","54.91"
"Australia","Ali Forever","54.91"
"Australia","Club Graffiti","27.90"
"Australia","Bound Cheaper","26.86"
"Australia","Legally Secretary","39.92"
"Australia","Tootsie Pilot","11.94"
"Canada","Pet Haunting","26.92"
"Canada","Trojan Tomorrow","27.92"
"Australia","Stallion Sundance","7.94"
"Canada","Women Dorado","11.93"
"Australia","Happiness United","22.94"
"Canada","Campus Remember","28.94"
"Australia","Clyde Theory","23.92"
"Canada","Horror Reign","39.88"
"Australia","Independence Hotel","22.87"
"Australia","Homicide Peach","15.95"
"Canada","Louisiana Harry","7.95"
"Australia","Sierra Divide","30.93"
"Australia","Party Knock","21.94"
"Australia","Adaptation Holes","34.89"
"Australia","Go Purple","29.92"
"Canada","Tomorrow Hustler","63.84"
"Canada","Dawn Pond","72.90"
"Australia","Dogma Family","78.86"
"Canada","Snatch Slipper","52.92"
"Canada","Dalmations Sweden","36.88"
"Australia","Moonwalker Fool","75.89"
"Australia","Pride Alamo","12.90"
"Canada","Paths Control","30.96"
"Australia","Trojan Tomorrow","47.90"
"Canada","Harper Dying","40.90"
"Australia","Bikini Borrowers","39.93"
"Canada","Hills Neighbors","29.87"
"Canada","Ending Crowds","17.90"
"Canada","Grinch Massage","25.95"
"Canada","Expecations Natural","50.92"
"Australia","Mulholland Beast","21.93"
"Australia","Beverly Outlaw","56.88"
"Australia","Storm Happiness","23.88"
"Australia","Jet Neighbors","25.95"
"Canada","Basic Easy","43.89"
"Canada","Jason Trap","35.91"
"Australia","Trip Newton","61.88"
"Australia","Chill Luck","10.92"
"Canada","Breaking Home","41.90"
"Canada","Oz Liaisons","23.93"
"Australia","Dozen Lion","31.94"
"Australia","Orange Grapes","45.85"
"Australia","Lose Inch","39.86"
"Australia","Joon Northwest","19.90"
"Australia","Personal Ladybugs","20.94"
"Canada","Loathing Legally","23.89"
"Australia","Center Dinosaur","40.93"
"Australia","Chicken Hellfighters","16.93"
"Australia","Caddyshack Jedi","46.86"
"Canada","Zorro Ark","108.85"
"Australia","Smoochy Control","14.88"
"Australia","Zoolander Fiction","42.91"
"Canada","War Notting","44.92"
"Canada","Exorcist Sting","27.94"
"Australia","Mallrats United","42.88"
"Australia","Cheaper Clyde","15.90"
"Australia","Dalmations Sweden","17.94"
"Australia","Taxi Kick","14.94"
"Australia","Runner Madigan","14.92"
"Canada","Hurricane Affair","34.90"
"Canada","Deep Crusade","75.87"
"Canada","Shock Cabin","45.86"
"Australia","Divine Resurrection","64.85"
"Australia","Outbreak Divine","10.93"
"Canada","Strictly Scarface","56.88"
"Australia","Smoking Barbarella","8.93"
"Canada","Sunrise League","109.85"
"Canada","Dances None","28.87"
"Australia","Tracy Cider","39.89"
"Australia","Saddle Antitrust","32.89"
"Canada","Gunfighter Mussolini","33.94"
"Canada","Roots Remember","14.95"
"Canada","Reap Unfaithful","26.94"
"Australia","Strangelove Desire","25.92"
"Canada","Telegraph Voyage","121.86"
"Canada","Grapes Fury","36.87"
"Australia","Baby Hall","40.93"
"Canada","Fool Mockingbird","104.86"
"Canada","Mod Secretary","48.91"
"Canada","Jumping Wrath","20.93"
"Canada","Cincinatti Whisperer","35.94"
"Canada","Perfect Groove","20.94"
"Australia","Japanese Run","7.94"
"Australia","Gleaming Jawbreaker","61.86"
"Canada","Casablanca Super","25.95"
"Canada","Affair Prejudice","49.88"
"Australia","Shootist Superfly","17.88"
"Canada","Requiem Tycoon","58.91"
"Canada","Grit Clockwork","53.86"
"Australia","Ship Wonderland","21.93"
"Australia","English Bulworth","54.84"
"Canada","Crazy Home","26.91"
"Canada","State Wasteland","35.93"
"Canada","Caribbean Liberty","66.92"
"Canada","Double Wrath","30.91"
"Australia","Fantasy Troopers","12.93"
"Canada","Steel Santa","68.89"
"Australia","High Encino","54.91"
"Australia","Remember Diary","55.87"
"Canada","Peach Innocent","38.93"
"Australia","Tomatoes Hellfighters","8.93"
"Canada","Gone Trouble","29.92"
"Australia","Dorado Notting","61.91"
"Australia","Tomorrow Hustler","37.92"
"Canada","Lovely Jingle","27.93"
"Australia","Academy Dinosaur","14.90"
"Australia","Hurricane Affair","47.87"
"Canada","Varsity Trip","17.94"
"Australia","Intentions Empire","30.93"
"Canada","Mallrats United","27.90"
"Canada","Madigan Dorado","48.92"
"Australia","Alaska Phantom","24.87"
"Canada","Contact Anonymous","27.91"
"Canada","Quest Mussolini","18.95"
"Australia","Maiden Home","69.89"
"Canada","Gentlemen Stage","21.94"
"Australia","Shrek License","37.88"
"Australia","Hook Chariots","17.87"
"Australia","Secret Groundhog","60.89"
"Canada","Bride Intrigue","13.89"
"Canada","Mystic Truman","17.92"
"Canada","Island Exorcist","31.90"
"Canada","Apache Divine","80.86"
"Canada","House Dynamite","19.94"
"Canada","Chariots Conspiracy","29.92"
"Canada","Virgin Daisy","25.95"
"Canada","Flintstones Happiness","81.89"
"Canada","Resurrection Silverado","11.92"
"Canada","Mummy Creatures","23.95"
"Canada","Town Ark","20.94"
"Australia","Nash Chocolat","58.87"
"Australia","Autumn Crow","74.90"
"Australia","Dream Pickup","31.90"
"Canada","Pianist Outfield","10.91"
"Canada","Taxi Kick","19.89"
"Canada","Durham Panky","67.88"
"Canada","Cyclone Family","43.87"
"Australia","Frogmen Breaking","16.90"
"Canada","Express Lonely","42.88"
"Australia","Bringing Hysterical","31.91"
"Australia","Lion Uncut","23.89"
"Australia","Words Hunter","30.93"
"Australia","Goldmine Tycoon","18.89"
"Canada","Sons Interview","51.89"
"Canada","Dangerous Uptown","66.88"
"Canada","Magnolia Forrester","20.94"
"Canada","Alien Center","37.92"
"Canada","Mixed Doors","15.96"
"Australia","Raging Airplane","77.88"
"Canada","Anaconda Confessions","29.90"
"Canada","Steers Armageddon","42.92"
"Canada","Coldblooded Darling","61.89"
"Australia","Talented Homicide","22.85"
"Canada","Oscar Gold","38.89"
"Australia","Model Fish","76.87"
"Australia","Goodfellas Salute","88.87"
"Australia","Candidate Perdition","61.88"
"Canada","Usual Untouchables","65.88"
"Canada","Egypt Tenenbaums","39.90"
"Australia","Juggler Hardly","43.86"
"Canada","Pocus Pulp","16.90"
"Canada","Moonshine Cabin","43.93"
"Australia","Orient Closer","46.90"
"Australia","Name Detective","58.89"
"Australia","Frost Head","34.86"
"Canada","Thin Sagebrush","73.89"
"Australia","Spartacus Cheaper","60.91"
"Australia","Amadeus Holy","9.92"
"Australia","Chainsaw Uptown","15.92"
"Australia","Requiem Tycoon","46.91"
"Australia","Window Side","50.89"
"Canada","Videotape Arsenic","92.86"
"Canada","Atlantis Cause","37.89"
"Australia","Right Cranes","52.90"
"Canada","Anonymous Human","17.87"
"Canada","Giant Troopers","54.86"
"Australia","Monster Spartacus","29.92"
"Australia","Charade Duffel","66.87"
"Australia","Zhivago Core","10.93"
"Canada","Victory Academy","12.91"
"Australia","Maker Gables","32.90"
"Australia","Island Exorcist","44.87"
"Canada","Wind Phantom","15.93"
"Canada","Lord Arizona","39.90"
"Australia","Madison Trap","30.93"
"Canada","River Outlaw","36.89"
"Canada","Patient Sister","14.89"
"Australia","Odds Boogie","19.87"
"Canada","Freaky Pocus","22.93"
"Australia","Sleeping Suspects","54.90"
"Australia","Princess Giant","56.88"
"Australia","Opus Ice","60.90"
"Canada","Rage Games","68.89"
"Canada","Mars Roman","16.91"
"Australia","Reap Unfaithful","35.90"
"Australia","Patriot Roman","29.91"
"Australia","Invasion Cyclone","46.88"
"Canada","Cleopatra Devil","12.94"
"Canada","Connection Microcosmos","8.95"
"Australia","Home Pity","66.88"
"Canada","Werewolf Lola","68.88"
"Canada","Chance Resurrection","43.91"
"Australia","Ghost Groundhog","44.92"
"Australia","Hollow Jeopardy","39.92"
"Australia","Balloon Homeward","57.86"
"Canada","Vanishing Rocky","20.95"
"Australia","Slacker Liaisons","19.96"
"Canada","Words Hunter","42.93"
"Canada","Voice Peach","13.94"
"Canada","Madness Attacks","45.84"
"Australia","Videotape Arsenic","55.90"
"Australia","Innocent Usual","92.88"
"Canada","Conversation Downhill","60.91"
"Canada","Go Purple","13.91"
"Australia","Grosse Wonderful","46.92"
"Canada","Party Knock","19.94"
"Australia","Virtual Spoilers","105.87"
"Australia","Suspects Quills","50.88"
"Australia","Spy Mile","44.87"
"Canada","Fatal Haunted","48.87"
"Australia","Ballroom Mockingbird","9.93"
"Australia","Bird Independence","53.91"
"Canada","Ship Wonderland","22.93"
"Australia","Fool Mockingbird","57.93"
"Canada","Natural Stock","31.88"
"Canada","Garden Island","73.91"
"Australia","Baked Cleopatra","36.93"
"Canada","Horn Working","72.84"
"Canada","Details Packer","67.90"
"Australia","Butterfly Chocolat","40.88"
"Australia","Insects Stone","24.87"
"Australia","Peach Innocent","41.93"
"Canada","Paycheck Wait","71.89"
"Australia","Life Twisted","37.92"
"Canada","Cause Date","48.93"
"Canada","Wait Cider","53.86"
"Australia","Side Ark","12.94"
"Australia","Dragon Squad","27.89"
"Canada","Club Graffiti","10.92"
"Canada","American Circus","53.93"
"Canada","Pacific Amistad","19.92"
"Canada","Warlock Werewolf","21.94"
"Canada","Shane Darkness","52.87"
"Australia","National Story","53.89"
"Australia","Crooked Frogmen","23.88"
"Australia","Bonnie Holocaust","31.85"
"Canada","Earth Vision","12.90"
"Canada","Hawk Chill","12.94"
"Australia","Movie Shakespeare","36.94"
"Australia","Pocus Pulp","23.85"
"Canada","Lolita World","45.91"
"Canada","Hamlet Wisdom","39.88"
"Australia","Sunset Racer","11.93"
"Australia","Blackout Private","34.89"
"Australia","Flying Hook","56.86"
"Canada","Mermaid Insects","30.95"
"Canada","Caper Motions","12.93"
"Australia","Jawbreaker Brooklyn","10.91"
"Canada","Impact Aladdin","18.92"
"Canada","Heavyweights Beast","59.89"
"Australia","Muscle Bright","45.86"
"Australia","Rugrats Shakespeare","36.85"
"Australia","Haunting Pianist","34.86"
"Canada","National Story","22.94"
"Canada","Sagebrush Clueless","47.93"
"Canada","Blues Instinct","48.88"
"Canada","Mother Oleander","38.93"
"Canada","Spirited Casualties","18.90"
"Australia","Hobbit Alien","33.87"
"Australia","Lies Treatment","56.90"
"Canada","Towers Hurricane","10.91"
"Australia","Lambs Cincinatti","57.90"
"Canada","Darling Breaking","44.92"
"Canada","Agent Truman","56.90"
"Canada","Velvet Terminator","102.85"
"Canada","Novocaine Flight","35.88"
"Australia","Highball Potter","15.87"
"Australia","Chicago North","31.94"
"Australia","Rocky War","39.94"
"Canada","Hunter Alter","24.95"
"Australia","Luke Mummy","28.93"
"Canada","Indian Love","14.95"
"Australia","Sassy Packer","14.88"
"Australia","Dirty Ace","19.95"
"Australia","Sleuth Orient","17.93"
"Canada","Wash Heavenly","63.88"
"Canada","Slacker Liaisons","66.88"
"Canada","Open African","42.92"
"Canada","Frontier Cabin","35.94"
"Australia","Tourist Pelican","48.93"
"Canada","Willow Tracy","19.94"
"Australia","Pulp Beverly","65.88"
"Canada","Roses Treasure","64.89"
"Australia","Sugar Wonka","50.92"
"Australia","Fantasia Park","45.89"
"Australia","Steel Santa","67.89"
"Australia","Beauty Grease","44.93"
"Australia","Married Go","43.87"
"Australia","Spinal Rocky","17.94"
"Australia","American Circus","92.88"
"Australia","Bilko Anonymous","94.88"
"Australia","Hanky October","55.88"
"Australia","Park Citizen","48.94"
"Canada","Sting Personal","63.91"
"Australia","Lawrence Love","8.94"
"Australia","Expecations Natural","50.91"
"Canada","Easy Gladiator","80.88"
"Australia","Artist Coldblooded","59.86"
"Australia","Brooklyn Desert","38.94"
"Australia","Jumping Wrath","46.86"
"Canada","Bang Kwai","22.93"
"Canada","Mask Peach","49.86"
"Canada","Fiction Christmas","19.93"
"Australia","Meet Chocolate","22.96"
"Canada","Lola Agent","49.93"
"Australia","Clash Freddy","45.86"
"Australia","Jerk Paycheck","54.90"
"Australia","Zorro Ark","90.87"
"Canada","Samurai Lion","33.92"
"Canada","Divide Monster","23.92"
"Australia","Arabia Dogma","21.88"
"Canada","Suspects Quills","67.85"
"Australia","Potter Connecticut","29.93"
"Australia","Language Cowboy","18.90"
"Canada","Translation Summer","25.87"
"Australia","Oscar Gold","44.86"
"Canada","Bright Encounters","87.88"
"Canada","Wild Apollo","15.94"
"Australia","Wonderland Christmas","46.93"
"Canada","Wonderland Christmas","95.86"
"Australia","Drop Waterfront","43.92"
"Australia","Dinosaur Secretary","32.90"
"Canada","Groundhog Uncut","31.95"
"Australia","Swarm Gold","43.86"
"Australia","Gilbert Pelican","17.91"
"Canada","Boiled Dares","66.87"
"Australia","Westward Seabiscuit","19.86"
"Canada","Troopers Metal","36.91"
"Australia","Illusion Amelie","34.87"
"Canada","Conquerer Nuts","84.87"
"Canada","Flash Wars","87.88"
"Canada","Jeopardy Encino","28.90"
"Australia","Borrowers Bedazzled","12.89"
"Australia","Daughter Madigan","69.91"
"Australia","Forward Temple","45.87"
"Australia","Fish Opus","50.87"
"Canada","Flying Hook","20.95"
"Australia","Moonshine Cabin","87.87"
"Australia","French Holiday","24.96"
"Canada","Dying Maker","83.85"
"Australia","Varsity Trip","30.90"
"Australia","Sons Interview","23.96"
"Canada","Vietnam Smoochy","9.94"
"Canada","Celebrity Horn","11.93"
"Canada","Maiden Home","82.89"
"Canada","Intolerable Intentions","39.93"
"Canada","Tenenbaums Command","19.88"
"Australia","Chamber Italian","45.92"
"Australia","Jekyll Frogmen","36.92"
"Australia","Paradise Sabrina","23.94"
"Canada","Earring Instinct","21.94"
"Australia","Deceiver Betrayed","13.90"
"Australia","Madre Gables","47.87"
"Australia","Escape Metropolis","47.85"
"Canada","Lost Bird","50.90"
"Australia","Atlantis Cause","37.90"
"Canada","Million Ace","38.94"
"Australia","Santa Paris","29.90"
"Canada","Birdcage Casper","23.91"
"Canada","Innocent Usual","98.86"
"Australia","Kissing Dolls","51.93"
"Canada","Haunting Pianist","12.94"
"Australia","Sweet Brotherhood","58.89"
"Australia","Conspiracy Spirit","16.95"
"Canada","Vacation Boondock","30.92"
"Canada","Superfly Trip","16.91"
"Canada","Jacket Frisco","23.94"
"Canada","Primary Glass","15.88"
"Australia","Half Outfield","23.93"
"Canada","Dares Pluto","26.92"
"Canada","Hall Cassidy","69.89"
"Australia","Telemark Heartbreakers","52.87"
"Australia","Inch Jet","70.87"
"Australia","Scalawag Duck","76.86"
"Australia","Army Flintstones","36.86"
"Canada","Dracula Crystal","9.92"
"Australia","Hills Neighbors","28.92"
"Australia","Bill Others","19.95"
"Canada","Birds Perdition","60.90"
"Canada","Carol Texas","42.92"
"Canada","Massacre Usual","91.85"
"Australia","Others Soup","29.92"
"Canada","Westward Seabiscuit","16.89"
"Australia","Basic Easy","43.91"
"Canada","Barbarella Streetcar","59.84"
"Canada","Idols Snatchers","35.91"
"Canada","Seattle Expecations","71.89"
"Canada","Outbreak Divine","20.89"
"Australia","Silverado Goldfinger","53.93"
"Canada","Boulevard Mob","25.92"
"Australia","Pond Seattle","12.96"
"Canada","Lebowski Soldiers","20.94"
"Australia","Pollock Deliverance","19.94"
"Canada","Circus Youth","53.86"
"Canada","Camelot Vacation","54.86"
"Australia","Show Lord","102.85"
"Canada","Trouble Date","18.95"
"Australia","Story Side","22.85"
"Canada","Heaven Freedom","24.92"
"Canada","Shawshank Bubble","67.88"
"Australia","Spoilers Hellfighters","18.91"
"Australia","Jericho Mulan","31.94"
"Australia","Blues Instinct","26.94"
"Canada","Tootsie Pilot","16.94"
"Australia","Holes Brannigan","53.90"
"Australia","Musketeers Wait","29.94"
"Canada","Pond Seattle","48.86"
"Canada","Core Suit","38.94"
"Australia","Jingle Sagebrush","59.89"
"Canada","Dragonfly Strangers","31.94"
"Canada","Hustler Party","99.88"
"Australia","River Outlaw","19.93"
"Australia","Turn Star","22.95"
"Canada","Beast Hunchback","69.90"
"Australia","Gun Bonnie","12.89"
"Canada","Graduate Lord","24.92"
"Australia","Blade Polish","12.90"
"Canada","Masked Bubble","17.88"
"Canada","Nemo Campus","16.95"
"Canada","Others Soup","40.88"
"Canada","Driver Annie","18.95"
"Canada","Records Zorro","38.93"
"Australia","Pilot Hoosiers","27.93"
"Australia","Rouge Squad","30.89"
"Australia","Shakespeare Saddle","41.89"
"Australia","Chocolat Harry","19.92"
"Canada","Chasing Fight","73.88"
"Australia","Volcano Texas","16.92"
"Australia","Straight Hours","29.90"
"Australia","Knock Warlock","48.91"
"Canada","Virginian Pluto","21.88"
"Canada","Alaska Phantom","12.90"
"Canada","Shining Roses","22.92"
"Canada","Daddy Pittsburgh","63.89"
"Australia","Jacket Frisco","47.90"
"Canada","Greatest North","46.87"
"Australia","Barefoot Manchurian","23.93"
"Canada","Blood Argonauts","30.93"
"Australia","Rules Human","35.94"
"Canada","Sweden Shining","49.91"
"Australia","Hoosiers Birdcage","41.92"
"Canada","Bull Shawshank","5.95"
"Australia","Flintstones Happiness","52.94"
"Australia","Secretary Rouge","57.91"
"Australia","Annie Identity","29.89"
"Australia","Network Peak","65.85"
"Canada","Undefeated Dalmations","40.92"
"Canada","Patriot Roman","22.94"
"Canada","Arizona Bang","56.89"
"Australia","Voice Peach","17.89"
"Canada","Unbreakable Karate","41.88"
"Canada","Analyze Hoosiers","55.86"
"Australia","Waterfront Deliverance","61.92"
